code	location	registred	envelopes	valid	ObËansk· demokratick· strana	ÿ·d n·roda - Vlasteneck· unie	CESTA ODPOVÃDN… SPOLE»NOSTI	»esk· str.soci·lnÏ demokrat.	RadostnÈ »esko	STAROSTOV… A NEZ¡VISLÕ	Komunistick· str.»ech a Moravy	Strana zelen˝ch	ROZUMNÕ-stop migraci/dikt·t.EU	Strana svobodn˝ch obËan˘	Blok proti islam.-Obran.domova	ObËansk· demokratick· aliance	»esk· pir·tsk· strana	OB»AN… 2011-SPRAVEDL. PRO LIDI	Referendum o EvropskÈ unii	TOP 09	ANO 2011	SPR-Republ.str.»sl. M.Sl·dka	K¯esù.demokr.unie-»s.str.lid.	»esk· strana n·rodnÏ soci·lnÌ	REALIST…	SPORTOVCI	DÏlnic.str.soci·lnÌ spravedl.	Svob.a p¯.dem.-T.Okamura (SPD)	Strana Pr·v ObËan˘	-
566756	BdenÏves	510	367	365	42	1	2	17	0	50	21	3	4	1	0	2	44	0	0	8	114	0	17	1	0	2	0	35	1	-
558656	BezvÏrov	551	259	254	17	0	0	18	1	9	28	3	2	5	0	1	9	0	0	8	107	1	9	0	2	0	0	33	1	-
530239	BÌlov	58	33	32	10	0	0	2	0	1	3	2	0	0	0	0	1	0	0	2	9	0	0	0	0	1	0	1	0	-
558672	Blatnice	677	399	395	46	2	0	36	1	32	31	1	3	7	0	0	32	0	0	4	130	0	1	0	3	3	2	59	2	-
566764	Blaûim	52	27	27	1	0	0	1	0	0	6	0	1	0	0	0	2	0	0	0	12	0	0	0	0	0	0	4	0	-
566471	Bohy	107	62	62	7	0	0	9	0	1	2	0	0	0	0	0	3	0	0	4	28	0	1	0	0	0	1	6	0	-
566489	Brodeslavy	61	45	45	5	0	0	5	0	0	2	1	2	0	0	0	2	0	0	1	20	0	0	0	1	0	0	6	0	-
558699	BuËÌ	131	87	85	12	0	0	13	0	4	7	1	0	3	0	1	9	0	0	11	13	0	3	0	0	0	0	8	0	-
558711	»eminy	222	140	139	13	1	0	6	0	7	15	0	0	2	0	0	1	0	2	11	53	0	5	0	1	1	2	18	1	-
566632	»ernÌkovice	65	49	49	9	0	0	3	2	1	5	1	0	1	0	0	5	0	0	3	12	0	0	0	0	0	0	7	0	-
530328	»erÚovice	166	93	92	9	0	0	15	0	4	14	0	0	2	0	0	3	0	0	5	27	0	0	0	1	1	0	10	1	-
558745	»esk· B¯Ìza	454	302	301	42	0	0	18	0	17	15	14	2	3	0	2	38	0	0	13	101	0	5	0	5	0	0	23	3	-
558770	Dob¯ÌË	345	225	224	19	0	0	22	0	8	28	1	3	5	0	1	19	0	0	8	67	0	8	0	0	3	1	30	1	-
558788	Dolany	218	131	130	17	0	0	7	0	6	4	1	0	7	0	1	18	2	0	7	40	0	9	0	1	0	0	6	4	-
558796	DolnÌ BÏl·	369	246	246	37	1	0	17	0	15	29	3	1	2	0	1	24	0	0	11	66	1	4	0	1	3	0	30	0	-
558800	DolnÌ HradiötÏ	50	32	32	2	3	0	3	0	0	3	0	0	1	0	0	4	0	0	0	11	0	1	0	2	0	0	2	0	-
578665	DraûeÚ	114	80	80	9	0	0	5	0	1	9	1	2	0	0	0	4	0	0	4	18	0	23	0	1	0	0	3	0	-
558834	Druztov·	597	396	391	58	0	0	18	1	45	24	5	2	2	1	0	38	0	1	16	112	1	7	7	1	13	1	38	0	-
558869	He¯manova Huù	1 430	681	678	48	0	0	40	2	82	69	6	14	3	2	0	46	0	0	18	263	1	8	0	5	6	4	56	5	-
566390	Hlince	65	40	39	4	0	0	4	0	1	8	0	0	0	0	0	1	0	0	5	8	0	0	0	1	0	0	7	0	-
530221	HnÏvnice	87	53	53	1	0	0	6	0	0	8	1	1	1	0	0	10	0	0	0	19	0	1	0	0	0	0	4	1	-
566730	Holovousy	53	39	38	6	0	0	5	0	6	2	0	0	0	0	0	4	0	0	0	10	0	1	0	0	1	1	2	0	-
558877	HornÌ BÏl·	466	336	334	26	0	0	30	0	13	38	3	1	5	2	0	31	0	2	14	92	0	21	0	2	4	0	47	3	-
558885	HornÌ B¯Ìza	3 504	2 031	2 008	178	2	0	163	3	94	235	15	28	40	7	9	199	2	0	97	593	6	44	2	25	12	5	241	8	-
558915	Hromnice	1 019	634	632	82	0	2	47	6	39	60	6	8	12	0	0	62	2	1	45	174	5	13	0	1	4	3	58	2	-
558931	Hvozd	205	167	164	9	0	1	10	0	5	18	0	2	7	1	0	9	0	0	9	62	0	15	1	1	1	0	12	1	-
558940	ChotÌkov	912	636	635	102	0	0	32	1	28	25	5	7	2	2	3	85	0	1	51	190	1	21	0	9	1	0	69	0	-
558974	Ch¯ÌË	190	102	101	4	0	0	2	1	5	11	2	3	1	0	0	9	0	0	11	37	0	2	1	0	0	0	12	0	-
558982	Jarov	114	87	86	7	0	0	3	0	6	3	3	0	1	0	0	7	0	0	7	33	0	2	0	0	0	0	14	0	-
558991	Kace¯ov	107	79	76	9	0	0	4	0	4	3	0	1	0	0	1	9	0	0	5	24	0	2	0	0	0	0	14	0	-
559008	KaznÏjov	2 437	1 490	1 476	124	5	0	168	0	48	138	16	18	21	5	1	135	0	0	46	514	1	24	1	8	11	2	182	8	-
538183	Kbelany	82	53	52	1	0	0	6	1	2	2	1	0	0	0	0	5	0	0	0	28	0	0	0	0	0	0	6	0	-
578771	KoËÌn	103	46	45	5	0	0	6	0	2	9	0	0	3	0	0	1	0	0	0	16	0	0	0	0	0	0	3	0	-
559024	Kopidlo	117	83	82	8	0	0	10	0	3	9	1	0	0	0	0	8	0	0	0	29	1	1	0	0	1	0	11	0	-
559032	Koryta	110	75	73	8	0	0	6	0	4	3	1	0	1	0	0	1	0	0	4	33	0	5	0	1	0	0	5	1	-
559041	Kozojedy	506	307	305	34	0	0	13	1	17	30	5	0	6	0	1	32	0	1	11	110	1	9	0	7	3	0	23	1	-
559059	Kozolupy	840	535	528	45	0	2	26	1	126	44	6	5	6	1	1	41	0	0	12	133	1	13	0	1	2	2	59	1	-
559067	Koûlany	1 159	662	662	90	2	1	63	4	23	79	8	9	6	0	3	58	0	0	22	201	7	15	0	4	2	0	61	4	-
559075	Kralovice	2 885	1 777	1 768	196	3	0	162	2	84	168	14	20	39	3	12	184	1	3	49	562	6	58	4	3	8	6	173	8	-
559083	Kraöovice	314	192	190	31	0	1	14	0	7	29	2	1	0	0	2	16	0	0	9	56	2	2	0	0	0	0	18	0	-
559091	Krsy	213	105	103	6	0	0	0	1	13	15	0	1	3	0	0	6	0	0	2	32	1	1	0	0	0	0	19	3	-
559105	K¯elovice	198	99	99	14	0	0	4	0	2	19	2	0	0	0	0	4	0	0	4	32	0	0	0	3	0	1	14	0	-
559121	KunÏjovice	135	61	60	4	1	0	8	0	1	8	0	0	5	1	0	3	1	0	1	14	0	0	0	0	3	1	9	0	-
559148	Ledce	665	428	422	64	1	0	26	1	13	51	2	2	9	2	3	36	0	1	28	124	2	17	0	1	2	0	36	1	-
559164	LÌnÏ	2 046	1 264	1 253	158	2	0	117	1	46	111	11	15	19	0	2	103	1	0	49	417	2	27	3	15	7	1	142	4	-
559172	LÌöùany	589	266	266	42	0	0	16	1	15	25	4	2	1	2	0	15	0	0	15	80	0	6	0	2	3	1	36	0	-
566420	LÌtÈ	180	113	113	10	0	0	7	0	14	19	2	3	3	0	0	5	0	0	4	30	0	4	0	1	0	0	11	0	-
566462	Lochousice	99	52	51	1	1	0	1	0	3	4	1	1	0	0	0	2	0	0	1	19	0	0	0	1	2	2	10	2	-
566446	Loza	208	140	138	10	0	0	14	1	5	13	2	0	2	0	0	14	0	0	3	47	0	4	0	0	1	0	21	1	-
559202	ManÏtÌn	937	577	576	73	2	0	55	1	28	61	7	7	19	1	0	43	0	1	11	174	2	38	0	4	0	2	45	2	-
559211	MÏsto Touökov	1 664	982	972	100	2	1	53	4	111	70	10	7	16	0	5	83	0	0	45	291	4	39	0	10	3	1	115	2	-
559237	Mladotice	443	286	285	16	0	0	34	2	10	20	2	4	5	0	0	22	0	0	2	125	3	10	0	4	1	1	24	0	-
559245	MrtnÌk	267	200	197	28	0	0	17	1	8	14	1	1	3	1	0	20	0	0	3	75	1	5	0	0	0	0	19	0	-
566543	Myslinka	166	99	99	10	1	0	8	0	18	4	1	0	2	0	0	7	0	3	2	19	1	1	0	1	1	0	18	2	-
559253	Nadryby	100	75	75	12	0	0	0	0	6	0	1	1	4	0	0	8	0	0	10	24	0	3	0	0	0	0	6	0	-
559261	NeËtiny	540	330	328	15	0	0	32	1	25	38	7	3	6	0	0	26	1	2	11	111	0	11	1	5	0	1	32	0	-
559270	NekmÌ¯	398	257	254	33	0	2	22	0	6	23	2	7	7	0	0	30	0	0	6	78	1	5	0	1	0	0	30	1	-
559288	Nev¯eÚ	232	153	150	18	0	0	13	0	10	11	0	4	5	0	0	21	0	0	6	43	0	0	0	1	0	1	17	0	-
559300	N˝¯any	5 477	2 898	2 875	315	4	1	247	3	151	236	38	35	34	5	8	300	4	0	75	963	10	40	5	11	15	16	348	11	-
559318	Obora	430	314	310	32	0	1	26	0	28	28	5	0	6	2	1	24	0	0	14	98	1	10	0	2	3	0	29	0	-
559326	Ostrov u Bezdruûic	170	79	79	3	0	0	9	0	0	10	2	1	0	0	0	3	0	0	2	25	0	0	0	0	0	1	23	0	-
566781	Pastuchovice	61	39	38	4	0	0	4	0	1	8	1	0	1	0	0	4	0	0	0	12	0	0	0	0	0	0	3	0	-
559334	Pernarec	619	309	308	18	1	0	10	0	17	35	1	4	4	2	1	24	0	2	9	110	2	8	0	5	1	1	52	1	-
530336	Pl·nÏ	223	142	142	7	1	0	8	1	6	18	0	0	11	0	0	8	0	0	2	40	0	17	1	3	0	0	19	0	-
559351	Plasy	2 197	1 389	1 383	135	0	1	126	1	53	137	15	14	17	3	1	147	0	2	65	477	13	44	6	12	5	2	106	1	-
559369	Pleönice	219	122	118	16	0	0	14	0	9	2	3	4	1	1	1	11	0	2	7	32	0	2	0	2	1	0	10	0	-
559377	PÚovany	362	230	230	18	0	0	25	0	13	34	0	4	5	0	0	21	0	0	3	75	0	4	0	3	2	1	19	3	-
530247	Potvorov	114	81	80	15	0	0	4	0	3	7	2	0	0	2	0	9	0	0	1	32	0	3	0	0	0	0	1	1	-
559393	P¯eh˝öov	448	248	245	29	0	0	8	0	6	30	3	4	1	0	1	12	0	0	2	96	1	0	0	3	2	0	46	1	-
567086	P¯Ìöov	257	171	169	24	0	0	17	0	4	13	4	2	2	0	0	12	1	4	9	46	1	0	0	3	0	0	27	0	-
559423	Rochlov	232	142	140	8	0	0	5	0	4	19	2	0	2	0	0	24	0	0	6	51	0	5	0	0	1	0	12	1	-
559431	Rybnice	427	271	265	34	1	0	14	0	7	34	2	0	5	0	1	25	0	0	13	81	2	4	0	5	0	0	35	2	-
530271	Sedlec	69	23	23	4	0	0	2	0	0	2	0	0	0	0	0	1	0	0	1	9	0	1	0	0	1	0	2	0	-
566748	Slatina	56	41	41	6	0	0	5	0	1	7	0	0	1	0	0	5	0	0	0	13	0	0	0	1	0	0	2	0	-
553603	Studen·	35	28	28	0	0	0	6	0	1	0	0	0	0	0	0	6	0	0	2	9	0	1	0	0	1	0	2	0	-
578797	ätichovice	95	77	75	4	0	0	10	0	6	8	0	0	4	1	0	4	0	0	4	8	0	25	0	0	0	0	1	0	-
578983	Tatin·	199	122	122	16	0	0	11	0	6	15	2	0	2	0	1	13	0	0	4	42	0	2	0	0	0	0	6	2	-
559482	Tis u Blatna	92	54	53	2	0	0	4	0	4	13	1	0	0	0	0	5	0	1	1	17	0	0	0	0	0	0	5	0	-
559491	TluËn·	2 507	1 483	1 479	164	4	1	168	0	73	98	13	7	29	2	6	189	0	2	93	403	2	40	0	10	6	8	157	4	-
559504	Trnov·	757	470	467	50	0	0	39	0	20	45	2	7	6	0	0	35	1	0	23	172	0	4	0	8	4	0	51	0	-
559521	T¯emoön·	4 006	2 544	2 535	400	8	0	194	3	160	185	21	24	35	2	8	255	0	0	133	741	7	39	3	26	13	4	268	6	-
546411	⁄herce	278	184	182	22	0	0	3	1	8	24	1	1	2	0	3	27	0	1	7	49	5	4	0	0	2	0	21	1	-
566594	⁄jezd nade MûÌ	83	64	64	3	0	0	2	1	6	13	0	1	2	0	0	5	0	0	2	13	0	0	0	3	0	2	11	0	-
559555	⁄lice	377	229	228	15	0	0	10	0	27	27	1	0	4	1	0	21	0	1	12	66	0	6	0	2	2	0	33	0	-
559563	⁄nÏöov	471	254	250	18	0	0	25	0	14	41	0	2	4	2	0	11	0	1	5	93	0	4	0	2	3	0	25	0	-
559571	⁄ter˝	396	206	203	14	0	0	22	1	13	28	4	0	1	1	0	16	2	0	9	57	1	2	0	3	1	0	27	1	-
559580	Vejprnice	3 059	2 059	2 050	498	2	3	134	1	86	135	25	14	29	4	5	223	0	0	122	478	0	56	0	24	6	4	197	4	-
578924	VeleËÌn	56	40	40	1	0	0	2	0	2	5	2	0	2	0	0	1	0	0	2	17	1	0	0	0	0	0	5	0	-
559601	Vochov	692	476	473	50	2	0	34	0	40	29	8	5	23	2	0	57	0	0	13	129	0	10	0	4	2	1	62	2	-
566497	Vöehrdy	44	24	24	4	0	0	2	0	6	2	0	0	0	0	0	0	0	0	0	8	0	1	0	0	0	0	1	0	-
559628	Vöeruby	1 096	629	624	65	0	0	34	0	32	65	7	9	8	1	3	58	2	0	25	193	1	9	0	3	2	5	100	2	-
566969	V˝rov	372	227	227	26	0	0	32	0	7	20	0	2	4	1	0	18	0	0	6	72	2	8	0	0	2	0	22	5	-
530280	Vysok· LibynÏ	195	117	117	10	1	0	16	0	8	14	0	1	0	0	0	6	0	0	4	37	2	1	0	0	1	0	16	0	-
578827	Zahr·dka	127	72	72	8	0	0	7	1	2	15	0	0	0	0	1	5	0	0	5	13	3	0	0	2	0	0	10	0	-
559661	Zb˘ch	1 723	928	919	110	5	0	64	1	35	90	14	4	18	0	1	68	0	4	21	311	0	17	0	3	6	6	135	6	-
559679	ZruË-Senec	2 595	1 800	1 789	308	2	2	85	2	94	109	31	9	27	1	6	172	1	0	135	558	5	51	5	23	10	0	147	6	-
559695	éihle	1 076	623	618	37	1	1	55	1	31	63	6	11	9	0	1	52	1	0	24	216	3	19	0	1	2	3	79	2	-
559709	éilov	351	221	220	31	0	0	21	1	13	21	2	3	5	0	0	39	0	0	10	51	0	9	0	1	0	0	13	0	-
